Time,E,EMax,P,PMax,PForced,Agility
1,0.0,5.647275,0.0,0.941212,0.0,92.999999984
2,0.0,5.647275,0.0,0.941212,0.0,91.999999984
3,0.0,5.647275,0.0,0.941212,0.0,90.999999984
4,0.0,5.647275,0.0,0.941212,0.0,89.999999984
5,0.0,5.647275,0.0,0.941212,0.0,88.999999984
6,0.0,5.647275,0.0,0.941212,0.0,87.999999984
7,0.0,5.647275,0.0,0.941212,0.0,86.999999984
8,0.0,5.647275,0.0,0.941212,0.0,85.999999984
9,0.0,5.647275,0.0,0.941212,0.0,84.999999984
10,0.0,5.647275,0.0,0.941212,0.0,83.999999984
11,0.0,5.647275,0.0,0.941212,0.0,82.999999984
12,0.0,5.647275,0.0,0.941212,0.0,81.999999984
13,0.0,5.647275,0.0,0.941212,0.0,80.999999984
14,0.0,5.647275,0.0,0.941212,0.0,79.999999984
15,0.0,5.647275,0.0,0.941212,0.0,78.999999984
16,0.0,5.647275,0.0,0.941212,0.0,77.999999984
17,0.0,5.647275,0.0,0.941212,0.0,76.999999984
18,0.0,5.647275,0.0,0.941212,0.0,75.999999984
19,0.0,5.647275,0.0,0.941212,0.0,74.999999984
20,0.0,5.647275,0.0,0.941212,0.0,73.999999984
21,0.0,5.647275,0.0,0.941212,0.0,72.999999984
22,0.0,5.647275,0.0,0.941212,0.0,71.999999984
23,0.0,5.647275,0.0,0.941212,0.0,70.999999984
24,0.0,5.647275,0.0,0.941212,0.0,69.999999984
25,0.0,5.647275,0.0,0.941212,0.0,68.999999984
26,0.0,5.647275,0.0,0.941212,0.0,67.999999984
27,0.0,5.647275,0.0,0.941212,0.0,66.999999984
28,0.0,5.647275,0.0,0.941212,0.0,65.999999984
29,0.0,5.647275,0.0,0.941212,0.0,64.999999984
30,0.0,5.647275,0.0,0.941212,0.0,63.999999984
31,0.0,5.647275,0.0,0.941212,0.0,62.999999984
32,0.0,5.647275,0.0,0.941212,0.0,61.999999984
33,0.0,5.647275,0.0,0.941212,0.0,60.999999984
34,0.0,5.647275,0.0,0.941212,0.0,59.999999984
35,0.0,5.647275,0.0,0.941212,0.0,58.999999984
