Time,E,EMax,P,PMax,PForced,Agility
1,0.0,5.631585,0.703948,0.703948,0.0,90.99999999
2,0.703948,5.631585,0.703948,0.703948,0.703948,89.99999999
3,1.407896,5.631585,0.703948,0.703948,0.703948,88.99999999
4,2.111844,5.631585,0.703948,0.703948,0.703948,87.99999999
5,2.815792,5.631585,0.703948,0.703948,0.703948,86.99999999
6,3.51974,5.631585,0.703948,0.703948,0.703948,85.99999999
7,4.223688,5.631585,0.703948,0.703948,0.703948,84.99999999
8,4.927636,5.631585,0.703948,0.703948,0.703948,83.99999999
9,5.631584,5.631585,1.000000000139778e-06,0.703948,1.000000000139778e-06,82.99999999
10,5.631585,5.631585,0.0,0.703948,0.0,81.99999999
11,5.631585,5.631585,0.0,0.703948,0.0,80.99999999
12,5.631585,5.631585,0.0,0.703948,0.0,79.99999999
13,5.631585,5.631585,0.0,0.703948,0.0,78.99999999
14,5.631585,5.631585,0.0,0.703948,0.0,77.99999999
15,5.631585,5.631585,0.0,0.703948,0.0,76.99999999
16,5.631585,5.631585,0.0,0.703948,0.0,75.99999999
17,5.631585,5.631585,0.0,0.703948,0.0,74.99999999
18,5.631585,5.631585,0.0,0.703948,0.0,73.99999999
19,5.631585,5.631585,0.0,0.703948,0.0,72.99999999
20,5.631585,5.631585,0.0,0.703948,0.0,71.99999999
21,5.631585,5.631585,0.0,0.703948,0.0,70.99999999
22,5.631585,5.631585,0.0,0.703948,0.0,69.99999999
23,5.631585,5.631585,0.0,0.703948,0.0,68.99999999
24,5.631585,5.631585,0.0,0.703948,0.0,67.99999999
25,5.631585,5.631585,0.0,0.703948,0.0,66.99999999
26,5.631585,5.631585,0.0,0.703948,0.0,65.99999999
27,5.631585,5.631585,0.0,0.703948,0.0,64.99999999
28,5.631585,5.631585,0.0,0.703948,0.0,63.99999999
29,5.631585,5.631585,0.0,0.703948,0.0,62.99999999
30,5.631585,5.631585,0.0,0.703948,0.0,61.99999999
31,5.631585,5.631585,0.0,0.703948,0.0,60.99999999
32,5.631585,5.631585,0.0,0.703948,0.0,59.99999999
33,5.631585,5.631585,0.0,0.703948,0.0,58.99999999
34,5.631585,5.631585,0.0,0.703948,0.0,57.99999999
35,5.631585,5.631585,0.0,0.703948,0.0,56.99999999
36,5.631585,5.631585,0.0,0.703948,0.0,55.99999999
37,5.631585,5.631585,0.0,0.703948,0.0,54.99999999
38,5.631585,5.631585,0.0,0.703948,0.0,53.99999999
39,5.631585,5.631585,0.0,0.703948,0.0,52.99999999
40,5.631585,5.631585,0.0,0.703948,0.0,51.99999999
41,5.631585,5.631585,0.0,0.703948,0.0,50.99999999
42,5.631585,5.631585,0.0,0.703948,0.0,49.99999999
43,5.631585,5.631585,0.0,0.703948,0.0,48.99999999
44,5.631585,5.631585,0.0,0.703948,0.0,47.99999999
45,5.631585,5.631585,0.0,0.703948,0.0,46.99999999
46,5.631585,5.631585,0.0,0.703948,0.0,45.99999999
47,5.631585,5.631585,0.0,0.703948,0.0,44.99999999
48,5.631585,5.631585,0.0,0.703948,0.0,43.99999999
49,5.631585,5.631585,0.0,0.703948,0.0,42.99999999
50,5.631585,5.631585,0.0,0.703948,0.0,41.99999999
51,5.631585,5.631585,0.0,0.703948,0.0,40.99999999
52,5.631585,5.631585,0.0,0.703948,0.0,39.99999999
53,5.631585,5.631585,0.0,0.703948,0.0,38.99999999
54,5.631585,5.631585,0.0,0.703948,0.0,37.99999999
55,5.631585,5.631585,0.0,0.703948,0.0,36.99999999
56,5.631585,5.631585,0.0,0.703948,0.0,35.99999999
57,5.631585,5.631585,0.0,0.703948,0.0,34.99999999
58,5.631585,5.631585,0.0,0.703948,0.0,33.99999999
59,5.631585,5.631585,0.0,0.703948,0.0,32.99999999
60,5.631585,5.631585,0.0,0.703948,0.0,31.99999999
61,5.631585,5.631585,0.0,0.703948,0.0,30.99999999
62,5.631585,5.631585,0.0,0.703948,0.0,29.99999999
63,5.631585,5.631585,0.0,0.703948,0.0,28.99999999
64,5.631585,5.631585,0.0,0.703948,0.0,27.99999999
65,5.631585,5.631585,0.0,0.703948,0.0,26.99999999
66,5.631585,5.631585,0.0,0.703948,0.0,25.99999999
67,5.631585,5.631585,0.0,0.703948,0.0,24.99999999
68,5.631585,5.631585,0.0,0.703948,0.0,23.99999999
69,5.631585,5.631585,0.0,0.703948,0.0,22.99999999
70,5.631585,5.631585,0.0,0.703948,0.0,21.99999999
71,5.631585,5.631585,0.0,0.703948,0.0,20.99999999
72,5.631585,5.631585,0.0,0.703948,0.0,19.99999999
73,5.631585,5.631585,0.0,0.703948,0.0,18.99999999
74,5.631585,5.631585,0.0,0.703948,0.0,17.99999999
75,5.631585,5.631585,0.0,0.703948,0.0,16.99999999
76,5.631585,5.631585,0.0,0.703948,0.0,15.99999999
77,5.631585,5.631585,0.0,0.703948,0.0,14.99999999
78,5.631585,5.631585,0.0,0.703948,0.0,13.99999999
79,5.631585,5.631585,0.0,0.703948,0.0,12.99999999
80,5.631585,5.631585,0.0,0.703948,0.0,11.99999999
81,5.631585,5.631585,0.0,0.703948,0.0,10.99999999
82,5.631585,5.631585,0.0,0.703948,0.0,9.99999999
83,5.631585,5.631585,0.0,0.703948,0.0,8.99999999
84,5.631585,5.631585,0.0,0.703948,0.0,7.99999999
85,5.631585,5.631585,0.0,0.703948,0.0,6.99999999
86,5.631585,5.631585,0.0,0.703948,0.0,5.99999999
87,5.631585,5.631585,0.0,0.703948,0.0,4.99999999
88,5.631585,5.631585,0.0,0.703948,0.0,3.99999999
89,5.631585,5.631585,0.0,0.703948,0.0,2.99999999
90,5.631585,5.631585,0.0,0.703948,0.0,1.99999999
91,5.631585,5.631585,0.0,0.703948,0.0,0.99999999
92,5.631585,5.631585,0.0,0.703948,0.0,-1e-08
93,5.631585,5.631585,0.0,0.703948,0.0,-1.00000001
94,5.631585,5.631585,0.0,0.703948,0.0,-2.00000001
95,5.631585,5.631585,0.0,0.703948,0.0,-3.00000001
96,5.631585,5.631585,0.0,0.703948,0.0,-4.00000001
97,5.631585,5.631585,0.0,0.703948,0.0,-5.00000001
98,5.631585,5.631585,0.0,0.703948,0.0,-6.00000001
99,5.631585,5.631585,0.0,0.703948,0.0,-7.00000001
100,5.631585,5.631585,0.0,0.703948,0.0,-8.00000001
