Time,E,EMax,P,PMax,PForced,Agility
1,0.0,4.489386,0.0,0.897877,0.0,93.999999963
2,0.0,4.489386,0.0,0.897877,0.0,92.999999963
3,0.0,4.489386,0.0,0.897877,0.0,91.999999963
4,0.0,4.489386,0.0,0.897877,0.0,90.999999963
5,0.0,4.489386,0.0,0.897877,0.0,89.999999963
6,0.0,4.489386,0.0,0.897877,0.0,88.999999963
7,0.0,4.489386,0.0,0.897877,0.0,87.999999963
8,0.0,4.489386,0.0,0.897877,0.0,86.999999963
9,0.0,4.489386,0.0,0.897877,0.0,85.999999963
10,0.0,4.489386,0.0,0.897877,0.0,84.999999963
11,0.0,4.489386,0.0,0.897877,0.0,83.999999963
12,0.0,4.489386,0.0,0.897877,0.0,82.999999963
13,0.0,4.489386,0.0,0.897877,0.0,81.999999963
14,0.0,4.489386,0.0,0.897877,0.0,80.999999963
15,0.0,4.489386,0.0,0.897877,0.0,79.999999963
16,0.0,4.489386,0.0,0.897877,0.0,78.999999963
17,0.0,4.489386,0.0,0.897877,0.0,77.999999963
18,0.0,4.489386,0.0,0.897877,0.0,76.999999963
19,0.0,4.489386,0.0,0.897877,0.0,75.999999963
20,0.0,4.489386,0.0,0.897877,0.0,74.999999963
21,0.0,4.489386,0.0,0.897877,0.0,73.999999963
22,0.0,4.489386,0.0,0.897877,0.0,72.999999963
23,0.0,4.489386,0.0,0.897877,0.0,71.999999963
24,0.0,4.489386,0.0,0.897877,0.0,70.999999963
25,0.0,4.489386,0.0,0.897877,0.0,69.999999963
26,0.0,4.489386,0.0,0.897877,0.0,68.999999963
27,0.0,4.489386,0.0,0.897877,0.0,67.999999963
28,0.0,4.489386,0.0,0.897877,0.0,66.999999963
29,0.0,4.489386,0.0,0.897877,0.0,65.999999963
30,0.0,4.489386,0.0,0.897877,0.0,64.999999963
31,0.0,4.489386,0.0,0.897877,0.0,63.999999963
32,0.0,4.489386,0.0,0.897877,0.0,62.999999963
33,0.0,4.489386,0.0,0.897877,0.0,61.999999963
34,0.0,4.489386,0.0,0.897877,0.0,60.999999963
35,0.0,4.489386,0.0,0.897877,0.0,59.999999963
36,0.0,4.489386,0.0,0.897877,0.0,58.999999963
37,0.0,4.489386,0.0,0.897877,0.0,57.999999963
38,0.0,4.489386,0.0,0.897877,0.0,56.999999963
39,0.0,4.489386,0.0,0.897877,0.0,55.999999963
40,0.0,4.489386,0.0,0.897877,0.0,54.999999963
41,0.0,4.489386,0.0,0.897877,0.0,53.999999963
42,0.0,4.489386,0.0,0.897877,0.0,52.999999963
43,0.0,4.489386,0.0,0.897877,0.0,51.999999963
44,0.0,4.489386,0.0,0.897877,0.0,50.999999963
45,0.0,4.489386,0.0,0.897877,0.0,49.999999963
46,0.0,4.489386,0.0,0.897877,0.0,48.999999963
47,0.0,4.489386,0.0,0.897877,0.0,47.999999963
48,0.0,4.489386,0.0,0.897877,0.0,46.999999963
49,0.0,4.489386,0.0,0.897877,0.0,45.999999963
50,0.0,4.489386,0.0,0.897877,0.0,44.999999963
51,0.0,4.489386,0.0,0.897877,0.0,43.999999963
52,0.0,4.489386,0.0,0.897877,0.0,42.999999963
53,0.0,4.489386,0.0,0.897877,0.0,41.999999963
54,0.0,4.489386,0.0,0.897877,0.0,40.999999963
55,0.0,4.489386,0.0,0.897877,0.0,39.999999963
