Time,E,EMax,P,PMax,PForced,Agility
1,0.0,4.871765,0.0,0.695966,0.0,91.999999981
2,0.0,4.871765,0.0,0.695966,0.0,90.999999981
3,0.0,4.871765,0.0,0.695966,0.0,89.999999981
4,0.0,4.871765,0.0,0.695966,0.0,88.999999981
5,0.0,4.871765,0.0,0.695966,0.0,87.999999981
6,0.0,4.871765,0.0,0.695966,0.0,86.999999981
7,0.0,4.871765,0.0,0.695966,0.0,85.999999981
8,0.0,4.871765,0.0,0.695966,0.0,84.999999981
9,0.0,4.871765,0.0,0.695966,0.0,83.999999981
10,0.0,4.871765,0.0,0.695966,0.0,82.999999981
11,0.0,4.871765,0.0,0.695966,0.0,81.999999981
12,0.0,4.871765,0.0,0.695966,0.0,80.999999981
13,0.0,4.871765,0.0,0.695966,0.0,79.999999981
14,0.0,4.871765,0.0,0.695966,0.0,78.999999981
15,0.0,4.871765,0.0,0.695966,0.0,77.999999981
16,0.0,4.871765,0.0,0.695966,0.0,76.999999981
17,0.0,4.871765,0.0,0.695966,0.0,75.999999981
18,0.0,4.871765,0.0,0.695966,0.0,74.999999981
19,0.0,4.871765,0.0,0.695966,0.0,73.999999981
20,0.0,4.871765,0.0,0.695966,0.0,72.999999981
21,0.0,4.871765,0.0,0.695966,0.0,71.999999981
22,0.0,4.871765,0.0,0.695966,0.0,70.999999981
23,0.0,4.871765,0.0,0.695966,0.0,69.999999981
24,0.0,4.871765,0.0,0.695966,0.0,68.999999981
25,0.0,4.871765,0.0,0.695966,0.0,67.999999981
26,0.0,4.871765,0.0,0.695966,0.0,66.999999981
27,0.0,4.871765,0.0,0.695966,0.0,65.999999981
28,0.0,4.871765,0.0,0.695966,0.0,64.999999981
29,0.0,4.871765,0.0,0.695966,0.0,63.999999981
30,0.0,4.871765,0.695966,0.695966,0.0,62.999999981
31,0.695966,4.871765,0.695966,0.695966,0.695966,61.999999981
32,1.391932,4.871765,0.695966,0.695966,0.695966,60.999999981
33,2.087898,4.871765,0.695966,0.695966,0.695966,59.999999981
34,2.783864,4.871765,0.695966,0.695966,0.695966,58.999999981
35,3.4798299999999998,4.871765,0.695966,0.695966,0.695966,57.999999981
36,4.175796,4.871765,0.695966,0.695966,0.695966,56.999999981
37,4.871762,4.871765,2.9999999995311555e-06,0.695966,2.9999999995311555e-06,55.999999981
38,4.871765,4.871765,0.0,0.695966,0.0,54.999999981
39,4.871765,4.871765,0.0,0.695966,0.0,53.999999981
40,4.871765,4.871765,0.0,0.695966,0.0,52.999999981
41,4.871765,4.871765,0.0,0.695966,0.0,51.999999981
42,4.871765,4.871765,0.0,0.695966,0.0,50.999999981
43,4.871765,4.871765,0.0,0.695966,0.0,49.999999981
44,4.871765,4.871765,0.0,0.695966,0.0,48.999999981
45,4.871765,4.871765,0.0,0.695966,0.0,47.999999981
46,4.871765,4.871765,0.0,0.695966,0.0,46.999999981
47,4.871765,4.871765,0.0,0.695966,0.0,45.999999981
48,4.871765,4.871765,0.0,0.695966,0.0,44.999999981
49,4.871765,4.871765,0.0,0.695966,0.0,43.999999981
