Time,E,EMax,P,PMax,PForced,Agility
1,0.0,6.522696,0.0,0.815337,0.0,90.999999996
2,0.0,6.522696,0.815337,0.815337,0.0,89.999999996
3,0.815337,6.522696,0.815337,0.815337,0.815337,88.999999996
4,1.630674,6.522696,0.815337,0.815337,0.815337,87.999999996
5,2.446011,6.522696,0.815337,0.815337,0.815337,86.999999996
6,3.261348,6.522696,0.815337,0.815337,0.815337,85.999999996
7,4.0766849999999994,6.522696,0.815337,0.815337,0.815337,84.999999996
8,4.892021999999999,6.522696,0.815337,0.815337,0.815337,83.999999996
9,5.7073589999999985,6.522696,0.815337,0.815337,0.815337,82.999999996
10,6.522695999999998,6.522696,1.7763568394002505e-15,0.815337,1.7763568394002505e-15,81.999999996
11,6.522696,6.522696,0.0,0.815337,0.0,80.999999996
12,6.522696,6.522696,0.0,0.815337,0.0,79.999999996
13,6.522696,6.522696,0.0,0.815337,0.0,78.999999996
14,6.522696,6.522696,0.0,0.815337,0.0,77.999999996
15,6.522696,6.522696,0.0,0.815337,0.0,76.999999996
16,6.522696,6.522696,0.0,0.815337,0.0,75.999999996
17,6.522696,6.522696,0.0,0.815337,0.0,74.999999996
18,6.522696,6.522696,0.0,0.815337,0.0,73.999999996
19,6.522696,6.522696,0.0,0.815337,0.0,72.999999996
20,6.522696,6.522696,0.0,0.815337,0.0,71.999999996
21,6.522696,6.522696,0.0,0.815337,0.0,70.999999996
22,6.522696,6.522696,0.0,0.815337,0.0,69.999999996
23,6.522696,6.522696,0.0,0.815337,0.0,68.999999996
24,6.522696,6.522696,0.0,0.815337,0.0,67.999999996
25,6.522696,6.522696,0.0,0.815337,0.0,66.999999996
26,6.522696,6.522696,0.0,0.815337,0.0,65.999999996
27,6.522696,6.522696,0.0,0.815337,0.0,64.999999996
28,6.522696,6.522696,0.0,0.815337,0.0,63.999999996
29,6.522696,6.522696,0.0,0.815337,0.0,62.999999996
30,6.522696,6.522696,0.0,0.815337,0.0,61.999999996
31,6.522696,6.522696,0.0,0.815337,0.0,60.999999996
32,6.522696,6.522696,0.0,0.815337,0.0,59.999999996
33,6.522696,6.522696,0.0,0.815337,0.0,58.999999996
34,6.522696,6.522696,0.0,0.815337,0.0,57.999999996
35,6.522696,6.522696,0.0,0.815337,0.0,56.999999996
36,6.522696,6.522696,0.0,0.815337,0.0,55.999999996
37,6.522696,6.522696,0.0,0.815337,0.0,54.999999996
38,6.522696,6.522696,0.0,0.815337,0.0,53.999999996
39,6.522696,6.522696,0.0,0.815337,0.0,52.999999996
40,6.522696,6.522696,0.0,0.815337,0.0,51.999999996
41,6.522696,6.522696,0.0,0.815337,0.0,50.999999996
42,6.522696,6.522696,0.0,0.815337,0.0,49.999999996
43,6.522696,6.522696,0.0,0.815337,0.0,48.999999996
44,6.522696,6.522696,0.0,0.815337,0.0,47.999999996
45,6.522696,6.522696,0.0,0.815337,0.0,46.999999996
46,6.522696,6.522696,0.0,0.815337,0.0,45.999999996
47,6.522696,6.522696,0.0,0.815337,0.0,44.999999996
48,6.522696,6.522696,0.0,0.815337,0.0,43.999999996
49,6.522696,6.522696,0.0,0.815337,0.0,42.999999996
50,6.522696,6.522696,0.0,0.815337,0.0,41.999999996
51,6.522696,6.522696,0.0,0.815337,0.0,40.999999996
52,6.522696,6.522696,0.0,0.815337,0.0,39.999999996
53,6.522696,6.522696,0.0,0.815337,0.0,38.999999996
54,6.522696,6.522696,0.0,0.815337,0.0,37.999999996
55,6.522696,6.522696,0.0,0.815337,0.0,36.999999996
56,6.522696,6.522696,0.0,0.815337,0.0,35.999999996
57,6.522696,6.522696,0.0,0.815337,0.0,34.999999996
58,6.522696,6.522696,0.0,0.815337,0.0,33.999999996
59,6.522696,6.522696,0.0,0.815337,0.0,32.999999996
60,6.522696,6.522696,0.0,0.815337,0.0,31.999999996
61,6.522696,6.522696,0.0,0.815337,0.0,30.999999996
62,6.522696,6.522696,0.0,0.815337,0.0,29.999999996
63,6.522696,6.522696,0.0,0.815337,0.0,28.999999996
64,6.522696,6.522696,0.0,0.815337,0.0,27.999999996
65,6.522696,6.522696,0.0,0.815337,0.0,26.999999996
66,6.522696,6.522696,0.0,0.815337,0.0,25.999999996
67,6.522696,6.522696,0.0,0.815337,0.0,24.999999996
68,6.522696,6.522696,0.0,0.815337,0.0,23.999999996
69,6.522696,6.522696,0.0,0.815337,0.0,22.999999996
70,6.522696,6.522696,0.0,0.815337,0.0,21.999999996
71,6.522696,6.522696,0.0,0.815337,0.0,20.999999996
72,6.522696,6.522696,0.0,0.815337,0.0,19.999999996
73,6.522696,6.522696,0.0,0.815337,0.0,18.999999996
74,6.522696,6.522696,0.0,0.815337,0.0,17.999999996
75,6.522696,6.522696,0.0,0.815337,0.0,16.999999996
76,6.522696,6.522696,0.0,0.815337,0.0,15.999999996
77,6.522696,6.522696,0.0,0.815337,0.0,14.999999996
78,6.522696,6.522696,0.0,0.815337,0.0,13.999999996
79,6.522696,6.522696,0.0,0.815337,0.0,12.999999996
80,6.522696,6.522696,0.0,0.815337,0.0,11.999999996
81,6.522696,6.522696,0.0,0.815337,0.0,10.999999996
82,6.522696,6.522696,0.0,0.815337,0.0,9.999999996
83,6.522696,6.522696,0.0,0.815337,0.0,8.999999996
84,6.522696,6.522696,0.0,0.815337,0.0,7.999999996
85,6.522696,6.522696,0.0,0.815337,0.0,6.999999996
86,6.522696,6.522696,0.0,0.815337,0.0,5.999999996
87,6.522696,6.522696,0.0,0.815337,0.0,4.999999996
88,6.522696,6.522696,0.0,0.815337,0.0,3.999999996
89,6.522696,6.522696,0.0,0.815337,0.0,2.999999996
90,6.522696,6.522696,0.0,0.815337,0.0,1.999999996
91,6.522696,6.522696,0.0,0.815337,0.0,0.999999996
92,6.522696,6.522696,0.0,0.815337,0.0,-4e-09
