Time,E,EMax,P,PMax,PForced,Agility
1,0.0,5.51548,0.0,0.871494,0.0,92.67123583180148
2,0.0,5.51548,0.0,0.871494,0.0,91.67123583180148
3,0.0,5.51548,0.0,0.871494,0.0,90.67123583180148
4,0.0,5.51548,0.0,0.871494,0.0,89.67123583180148
5,0.0,5.51548,0.0,0.871494,0.0,88.67123583180148
6,0.0,5.51548,0.0,0.871494,0.0,87.67123583180148
7,0.0,5.51548,0.0,0.871494,0.0,86.67123583180148
8,0.0,5.51548,0.0,0.871494,0.0,85.67123583180148
9,0.0,5.51548,0.0,0.871494,0.0,84.67123583180148
10,0.0,5.51548,0.0,0.871494,0.0,83.67123583180148
11,0.0,5.51548,0.0,0.871494,0.0,82.67123583180148
12,0.0,5.51548,0.0,0.871494,0.0,81.67123583180148
13,0.0,5.51548,0.0,0.871494,0.0,80.67123583180148
14,0.0,5.51548,0.0,0.871494,0.0,79.67123583180148
15,0.0,5.51548,0.0,0.871494,0.0,78.67123583180148
16,0.0,5.51548,0.0,0.871494,0.0,77.67123583180148
17,0.0,5.51548,0.0,0.871494,0.0,76.67123583180148
18,0.0,5.51548,0.0,0.871494,0.0,75.67123583180148
19,0.0,5.51548,0.0,0.871494,0.0,74.67123583180148
20,0.0,5.51548,0.0,0.871494,0.0,73.67123583180148
21,0.0,5.51548,0.0,0.871494,0.0,72.67123583180148
22,0.0,5.51548,0.0,0.871494,0.0,71.67123583180148
23,0.0,5.51548,0.0,0.871494,0.0,70.67123583180148
24,0.0,5.51548,0.0,0.871494,0.0,69.67123583180148
25,0.0,5.51548,0.0,0.871494,0.0,68.67123583180148
26,0.0,5.51548,0.0,0.871494,0.0,67.67123583180148
27,0.0,5.51548,0.0,0.871494,0.0,66.67123583180148
28,0.0,5.51548,0.0,0.871494,0.0,65.67123583180148
29,0.0,5.51548,0.0,0.871494,0.0,64.67123583180148
30,0.0,5.51548,0.0,0.871494,0.0,63.67123583180148
31,0.0,5.51548,0.871494,0.871494,0.0,62.67123583180148
