Time,E,EMax,P,PMax,PForced,Agility
1,0.0,4.709172,0.0,0.672739,0.0,92.0
2,0.0,4.709172,0.0,0.672739,0.0,91.0
3,0.0,4.709172,0.0,0.672739,0.0,90.0
4,0.0,4.709172,0.0,0.672739,0.0,89.0
5,0.0,4.709172,0.0,0.672739,0.0,88.0
6,0.0,4.709172,0.0,0.672739,0.0,87.0
7,0.0,4.709172,0.0,0.672739,0.0,86.0
8,0.0,4.709172,0.0,0.672739,0.0,85.0
9,0.0,4.709172,0.672739,0.672739,0.0,84.0
10,0.672739,4.709172,0.672739,0.672739,0.672739,83.0
11,1.345478,4.709172,0.672739,0.672739,0.672739,82.0
12,2.018217,4.709172,0.672739,0.672739,0.672739,81.0
13,2.690956,4.709172,0.672739,0.672739,0.672739,80.0
14,3.363695,4.709172,0.672739,0.672739,0.672739,79.0
15,4.036434,4.709172,0.6727379999999998,0.672739,0.6727379999999998,78.0
16,4.709172,4.709172,0.0,0.672739,0.0,77.0
17,4.709172,4.709172,0.0,0.672739,0.0,76.0
18,4.709172,4.709172,0.0,0.672739,0.0,75.0
19,4.709172,4.709172,0.0,0.672739,0.0,74.0
20,4.709172,4.709172,0.0,0.672739,0.0,73.0
21,4.709172,4.709172,0.0,0.672739,0.0,72.0
22,4.709172,4.709172,0.0,0.672739,0.0,71.0
23,4.709172,4.709172,0.0,0.672739,0.0,70.0
24,4.709172,4.709172,0.0,0.672739,0.0,69.0
25,4.709172,4.709172,0.0,0.672739,0.0,68.0
26,4.709172,4.709172,0.0,0.672739,0.0,67.0
27,4.709172,4.709172,0.0,0.672739,0.0,66.0
28,4.709172,4.709172,0.0,0.672739,0.0,65.0
29,4.709172,4.709172,0.0,0.672739,0.0,64.0
30,4.709172,4.709172,0.0,0.672739,0.0,63.0
31,4.709172,4.709172,0.0,0.672739,0.0,62.0
32,4.709172,4.709172,0.0,0.672739,0.0,61.0
33,4.709172,4.709172,0.0,0.672739,0.0,60.0
34,4.709172,4.709172,0.0,0.672739,0.0,59.0
35,4.709172,4.709172,0.0,0.672739,0.0,58.0
36,4.709172,4.709172,0.0,0.672739,0.0,57.0
37,4.709172,4.709172,0.0,0.672739,0.0,56.0
38,4.709172,4.709172,0.0,0.672739,0.0,55.0
39,4.709172,4.709172,0.0,0.672739,0.0,54.0
40,4.709172,4.709172,0.0,0.672739,0.0,53.0
41,4.709172,4.709172,0.0,0.672739,0.0,52.0
