Time,E,EMax,P,PMax,PForced,Agility
1,0.0,4.937676,0.61721,0.61721,0.0,90.999999967
2,0.61721,4.937676,0.61721,0.61721,0.61721,89.999999967
3,1.23442,4.937676,0.61721,0.61721,0.61721,88.999999967
4,1.85163,4.937676,0.61721,0.61721,0.61721,87.999999967
5,2.46884,4.937676,0.61721,0.61721,0.61721,86.999999967
6,3.08605,4.937676,0.61721,0.61721,0.61721,85.999999967
7,3.70326,4.937676,0.61721,0.61721,0.61721,84.999999967
8,4.32047,4.937676,0.6172059999999995,0.61721,0.6172059999999995,83.999999967
9,4.937676,4.937676,0.0,0.61721,0.0,82.999999967
10,4.937676,4.937676,0.0,0.61721,0.0,81.999999967
11,4.937676,4.937676,0.0,0.61721,0.0,80.999999967
12,4.937676,4.937676,0.0,0.61721,0.0,79.999999967
13,4.937676,4.937676,0.0,0.61721,0.0,78.999999967
14,4.937676,4.937676,0.0,0.61721,0.0,77.999999967
15,4.937676,4.937676,0.0,0.61721,0.0,76.999999967
16,4.937676,4.937676,0.0,0.61721,0.0,75.999999967
17,4.937676,4.937676,0.0,0.61721,0.0,74.999999967
18,4.937676,4.937676,0.0,0.61721,0.0,73.999999967
19,4.937676,4.937676,0.0,0.61721,0.0,72.999999967
20,4.937676,4.937676,0.0,0.61721,0.0,71.999999967
21,4.937676,4.937676,0.0,0.61721,0.0,70.999999967
22,4.937676,4.937676,0.0,0.61721,0.0,69.999999967
23,4.937676,4.937676,0.0,0.61721,0.0,68.999999967
24,4.937676,4.937676,0.0,0.61721,0.0,67.999999967
25,4.937676,4.937676,0.0,0.61721,0.0,66.999999967
26,4.937676,4.937676,0.0,0.61721,0.0,65.999999967
27,4.937676,4.937676,0.0,0.61721,0.0,64.999999967
28,4.937676,4.937676,0.0,0.61721,0.0,63.999999967
29,4.937676,4.937676,0.0,0.61721,0.0,62.999999967
30,4.937676,4.937676,0.0,0.61721,0.0,61.999999967
31,4.937676,4.937676,0.0,0.61721,0.0,60.999999967
32,4.937676,4.937676,0.0,0.61721,0.0,59.999999967
33,4.937676,4.937676,0.0,0.61721,0.0,58.999999967
34,4.937676,4.937676,0.0,0.61721,0.0,57.999999967
35,4.937676,4.937676,0.0,0.61721,0.0,56.999999967
36,4.937676,4.937676,0.0,0.61721,0.0,55.999999967
37,4.937676,4.937676,0.0,0.61721,0.0,54.999999967
38,4.937676,4.937676,0.0,0.61721,0.0,53.999999967
