Time,E,EMax,P,PMax,PForced,Agility
1,0.0,5.948561,0.660951,0.660951,0.0,89.999999997
2,0.660951,5.948561,0.660951,0.660951,0.660951,88.999999997
3,1.321902,5.948561,0.660951,0.660951,0.660951,87.999999997
4,1.982853,5.948561,0.660951,0.660951,0.660951,86.999999997
5,2.643804,5.948561,0.660951,0.660951,0.660951,85.999999997
6,3.3047549999999997,5.948561,0.660951,0.660951,0.660951,84.999999997
7,3.9657059999999995,5.948561,0.660951,0.660951,0.660951,83.999999997
8,4.626657,5.948561,0.660951,0.660951,0.660951,82.999999997
9,5.287608,5.948561,0.660951,0.660951,0.660951,81.999999997
10,5.9485589999999995,5.948561,2.000000000279556e-06,0.660951,2.000000000279556e-06,80.999999997
11,5.948561,5.948561,0.0,0.660951,0.0,79.999999997
12,5.948561,5.948561,0.0,0.660951,0.0,78.999999997
13,5.948561,5.948561,0.0,0.660951,0.0,77.999999997
14,5.948561,5.948561,0.0,0.660951,0.0,76.999999997
15,5.948561,5.948561,0.0,0.660951,0.0,75.999999997
16,5.948561,5.948561,0.0,0.660951,0.0,74.999999997
17,5.948561,5.948561,0.0,0.660951,0.0,73.999999997
18,5.948561,5.948561,0.0,0.660951,0.0,72.999999997
19,5.948561,5.948561,0.0,0.660951,0.0,71.999999997
20,5.948561,5.948561,0.0,0.660951,0.0,70.999999997
21,5.948561,5.948561,0.0,0.660951,0.0,69.999999997
22,5.948561,5.948561,0.0,0.660951,0.0,68.999999997
23,5.948561,5.948561,0.0,0.660951,0.0,67.999999997
24,5.948561,5.948561,0.0,0.660951,0.0,66.999999997
25,5.948561,5.948561,0.0,0.660951,0.0,65.999999997
26,5.948561,5.948561,0.0,0.660951,0.0,64.999999997
27,5.948561,5.948561,0.0,0.660951,0.0,63.999999997
28,5.948561,5.948561,0.0,0.660951,0.0,62.999999997
29,5.948561,5.948561,0.0,0.660951,0.0,61.999999997
30,5.948561,5.948561,0.0,0.660951,0.0,60.999999997
31,5.948561,5.948561,0.0,0.660951,0.0,59.999999997
32,5.948561,5.948561,0.0,0.660951,0.0,58.999999997
33,5.948561,5.948561,0.0,0.660951,0.0,57.999999997
34,5.948561,5.948561,0.0,0.660951,0.0,56.999999997
35,5.948561,5.948561,0.0,0.660951,0.0,55.999999997
36,5.948561,5.948561,0.0,0.660951,0.0,54.999999997
37,5.948561,5.948561,0.0,0.660951,0.0,53.999999997
38,5.948561,5.948561,0.0,0.660951,0.0,52.999999997
39,5.948561,5.948561,0.0,0.660951,0.0,51.999999997
40,5.948561,5.948561,0.0,0.660951,0.0,50.999999997
41,5.948561,5.948561,0.0,0.660951,0.0,49.999999997
42,5.948561,5.948561,0.0,0.660951,0.0,48.999999997
43,5.948561,5.948561,0.0,0.660951,0.0,47.999999997
44,5.948561,5.948561,0.0,0.660951,0.0,46.999999997
45,5.948561,5.948561,0.0,0.660951,0.0,45.999999997
46,5.948561,5.948561,0.0,0.660951,0.0,44.999999997
47,5.948561,5.948561,0.0,0.660951,0.0,43.999999997
48,5.948561,5.948561,0.0,0.660951,0.0,42.999999997
49,5.948561,5.948561,0.0,0.660951,0.0,41.999999997
50,5.948561,5.948561,0.0,0.660951,0.0,40.999999997
51,5.948561,5.948561,0.0,0.660951,0.0,39.999999997
52,5.948561,5.948561,0.0,0.660951,0.0,38.999999997
53,5.948561,5.948561,0.0,0.660951,0.0,37.999999997
54,5.948561,5.948561,0.0,0.660951,0.0,36.999999997
55,5.948561,5.948561,0.0,0.660951,0.0,35.999999997
56,5.948561,5.948561,0.0,0.660951,0.0,34.999999997
57,5.948561,5.948561,0.0,0.660951,0.0,33.999999997
58,5.948561,5.948561,0.0,0.660951,0.0,32.999999997
59,5.948561,5.948561,0.0,0.660951,0.0,31.999999997
60,5.948561,5.948561,0.0,0.660951,0.0,30.999999997
61,5.948561,5.948561,0.0,0.660951,0.0,29.999999997
62,5.948561,5.948561,0.0,0.660951,0.0,28.999999997
63,5.948561,5.948561,0.0,0.660951,0.0,27.999999997
64,5.948561,5.948561,0.0,0.660951,0.0,26.999999997
65,5.948561,5.948561,0.0,0.660951,0.0,25.999999997
66,5.948561,5.948561,0.0,0.660951,0.0,24.999999997
67,5.948561,5.948561,0.0,0.660951,0.0,23.999999997
68,5.948561,5.948561,0.0,0.660951,0.0,22.999999997
69,5.948561,5.948561,0.0,0.660951,0.0,21.999999997
70,5.948561,5.948561,0.0,0.660951,0.0,20.999999997
71,5.948561,5.948561,0.0,0.660951,0.0,19.999999997
72,5.948561,5.948561,0.0,0.660951,0.0,18.999999997
73,5.948561,5.948561,0.0,0.660951,0.0,17.999999997
74,5.948561,5.948561,0.0,0.660951,0.0,16.999999997
75,5.948561,5.948561,0.0,0.660951,0.0,15.999999997
76,5.948561,5.948561,0.0,0.660951,0.0,14.999999997
77,5.948561,5.948561,0.0,0.660951,0.0,13.999999997
78,5.948561,5.948561,0.0,0.660951,0.0,12.999999997
79,5.948561,5.948561,0.0,0.660951,0.0,11.999999997
80,5.948561,5.948561,0.0,0.660951,0.0,10.999999997
81,5.948561,5.948561,0.0,0.660951,0.0,9.999999997
82,5.948561,5.948561,0.0,0.660951,0.0,8.999999997
83,5.948561,5.948561,0.0,0.660951,0.0,7.999999997
