Time,E,EMax,P,PMax,PForced,Agility
1,0.0,5.623824,0.0,0.803403,0.0,91.999999956
2,0.0,5.623824,0.0,0.803403,0.0,90.999999956
3,0.0,5.623824,0.0,0.803403,0.0,89.999999956
4,0.0,5.623824,0.0,0.803403,0.0,88.999999956
5,0.0,5.623824,0.0,0.803403,0.0,87.999999956
6,0.0,5.623824,0.0,0.803403,0.0,86.999999956
7,0.0,5.623824,0.0,0.803403,0.0,85.999999956
8,0.0,5.623824,0.0,0.803403,0.0,84.999999956
9,0.0,5.623824,0.803403,0.803403,0.0,83.999999956
10,0.803403,5.623824,0.803403,0.803403,0.803403,82.999999956
11,1.606806,5.623824,0.803403,0.803403,0.803403,81.999999956
12,2.410209,5.623824,0.803403,0.803403,0.803403,80.999999956
13,3.213612,5.623824,0.803403,0.803403,0.803403,79.999999956
14,4.017015,5.623824,0.803403,0.803403,0.803403,78.999999956
15,4.820418,5.623824,0.803403,0.803403,0.803403,77.999999956
16,5.623821,5.623824,2.9999999995311555e-06,0.803403,2.9999999995311555e-06,76.999999956
17,5.623824,5.623824,0.0,0.803403,0.0,75.999999956
18,5.623824,5.623824,0.0,0.803403,0.0,74.999999956
19,5.623824,5.623824,0.0,0.803403,0.0,73.999999956
20,5.623824,5.623824,0.0,0.803403,0.0,72.999999956
21,5.623824,5.623824,0.0,0.803403,0.0,71.999999956
22,5.623824,5.623824,0.0,0.803403,0.0,70.999999956
23,5.623824,5.623824,0.0,0.803403,0.0,69.999999956
24,5.623824,5.623824,0.0,0.803403,0.0,68.999999956
25,5.623824,5.623824,0.0,0.803403,0.0,67.999999956
26,5.623824,5.623824,0.0,0.803403,0.0,66.999999956
27,5.623824,5.623824,0.0,0.803403,0.0,65.999999956
28,5.623824,5.623824,0.0,0.803403,0.0,64.999999956
29,5.623824,5.623824,0.0,0.803403,0.0,63.999999956
30,5.623824,5.623824,0.0,0.803403,0.0,62.999999956
31,5.623824,5.623824,0.0,0.803403,0.0,61.999999956
32,5.623824,5.623824,0.0,0.803403,0.0,60.999999956
33,5.623824,5.623824,0.0,0.803403,0.0,59.999999956
34,5.623824,5.623824,0.0,0.803403,0.0,58.999999956
35,5.623824,5.623824,0.0,0.803403,0.0,57.999999956
36,5.623824,5.623824,0.0,0.803403,0.0,56.999999956
37,5.623824,5.623824,0.0,0.803403,0.0,55.999999956
38,5.623824,5.623824,0.0,0.803403,0.0,54.999999956
39,5.623824,5.623824,0.0,0.803403,0.0,53.999999956
40,5.623824,5.623824,0.0,0.803403,0.0,52.999999956
41,5.623824,5.623824,0.0,0.803403,0.0,51.999999956
42,5.623824,5.623824,0.0,0.803403,0.0,50.999999956
43,5.623824,5.623824,0.0,0.803403,0.0,49.999999956
44,5.623824,5.623824,0.0,0.803403,0.0,48.999999956
45,5.623824,5.623824,0.0,0.803403,0.0,47.999999956
46,5.623824,5.623824,0.0,0.803403,0.0,46.999999956
47,5.623824,5.623824,0.0,0.803403,0.0,45.999999956
48,5.623824,5.623824,0.0,0.803403,0.0,44.999999956
49,5.623824,5.623824,0.0,0.803403,0.0,43.999999956
50,5.623824,5.623824,0.0,0.803403,0.0,42.999999956
51,5.623824,5.623824,0.0,0.803403,0.0,41.999999956
52,5.623824,5.623824,0.0,0.803403,0.0,40.999999956
53,5.623824,5.623824,0.0,0.803403,0.0,39.999999956
54,5.623824,5.623824,0.0,0.803403,0.0,38.999999956
55,5.623824,5.623824,0.0,0.803403,0.0,37.999999956
56,5.623824,5.623824,0.0,0.803403,0.0,36.999999956
57,5.623824,5.623824,0.0,0.803403,0.0,35.999999956
58,5.623824,5.623824,0.0,0.803403,0.0,34.999999956
59,5.623824,5.623824,0.0,0.803403,0.0,33.999999956
60,5.623824,5.623824,0.0,0.803403,0.0,32.999999956
61,5.623824,5.623824,0.0,0.803403,0.0,31.999999956
62,5.623824,5.623824,0.0,0.803403,0.0,30.999999956
63,5.623824,5.623824,0.0,0.803403,0.0,29.999999956
64,5.623824,5.623824,0.0,0.803403,0.0,28.999999956
65,5.623824,5.623824,0.0,0.803403,0.0,27.999999956
66,5.623824,5.623824,0.0,0.803403,0.0,26.999999956
67,5.623824,5.623824,0.0,0.803403,0.0,25.999999956
