Time,E,EMax,P,PMax,PForced,Agility
1,0.0,5.702263,0.0,0.950377,0.0,92.999999951
2,0.0,5.702263,0.0,0.950377,0.0,91.999999951
3,0.0,5.702263,0.0,0.950377,0.0,90.999999951
4,0.0,5.702263,0.0,0.950377,0.0,89.999999951
5,0.0,5.702263,0.0,0.950377,0.0,88.999999951
6,0.0,5.702263,0.0,0.950377,0.0,87.999999951
7,0.0,5.702263,0.0,0.950377,0.0,86.999999951
8,0.0,5.702263,0.0,0.950377,0.0,85.999999951
9,0.0,5.702263,0.0,0.950377,0.0,84.999999951
10,0.0,5.702263,0.0,0.950377,0.0,83.999999951
11,0.0,5.702263,0.0,0.950377,0.0,82.999999951
12,0.0,5.702263,0.0,0.950377,0.0,81.999999951
13,0.0,5.702263,0.0,0.950377,0.0,80.999999951
14,0.0,5.702263,0.0,0.950377,0.0,79.999999951
15,0.0,5.702263,0.0,0.950377,0.0,78.999999951
16,0.0,5.702263,0.0,0.950377,0.0,77.999999951
17,0.0,5.702263,0.0,0.950377,0.0,76.999999951
18,0.0,5.702263,0.0,0.950377,0.0,75.999999951
19,0.0,5.702263,0.0,0.950377,0.0,74.999999951
20,0.0,5.702263,0.0,0.950377,0.0,73.999999951
21,0.0,5.702263,0.0,0.950377,0.0,72.999999951
22,0.0,5.702263,0.0,0.950377,0.0,71.999999951
23,0.0,5.702263,0.0,0.950377,0.0,70.999999951
24,0.0,5.702263,0.0,0.950377,0.0,69.999999951
25,0.0,5.702263,0.0,0.950377,0.0,68.999999951
26,0.0,5.702263,0.0,0.950377,0.0,67.999999951
27,0.0,5.702263,0.0,0.950377,0.0,66.999999951
28,0.0,5.702263,0.0,0.950377,0.0,65.999999951
29,0.0,5.702263,0.0,0.950377,0.0,64.999999951
30,0.0,5.702263,0.0,0.950377,0.0,63.999999951
31,0.0,5.702263,0.0,0.950377,0.0,62.999999951
32,0.0,5.702263,0.0,0.950377,0.0,61.999999951
33,0.0,5.702263,0.950377,0.950377,0.0,60.999999951
34,0.950377,5.702263,0.950377,0.950377,0.950377,59.999999951
35,1.900754,5.702263,0.950377,0.950377,0.950377,58.999999951
36,2.851131,5.702263,0.950377,0.950377,0.950377,57.999999951
37,3.801508,5.702263,0.950377,0.950377,0.950377,56.999999951
38,4.751885,5.702263,0.950377,0.950377,0.950377,55.999999951
39,5.702261999999999,5.702263,1.0000000010279564e-06,0.950377,1.0000000010279564e-06,54.999999951
