Time,E,EMax,P,PMax,PForced,Agility
1,0.0,4.919664,0.0,0.819944,0.0,92.999999985
2,0.0,4.919664,0.0,0.819944,0.0,91.999999985
3,0.0,4.919664,0.0,0.819944,0.0,90.999999985
4,0.0,4.919664,0.0,0.819944,0.0,89.999999985
5,0.0,4.919664,0.0,0.819944,0.0,88.999999985
6,0.0,4.919664,0.0,0.819944,0.0,87.999999985
7,0.0,4.919664,0.0,0.819944,0.0,86.999999985
8,0.0,4.919664,0.0,0.819944,0.0,85.999999985
9,0.0,4.919664,0.0,0.819944,0.0,84.999999985
10,0.0,4.919664,0.0,0.819944,0.0,83.999999985
11,0.0,4.919664,0.0,0.819944,0.0,82.999999985
12,0.0,4.919664,0.0,0.819944,0.0,81.999999985
13,0.0,4.919664,0.0,0.819944,0.0,80.999999985
14,0.0,4.919664,0.0,0.819944,0.0,79.999999985
15,0.0,4.919664,0.0,0.819944,0.0,78.999999985
16,0.0,4.919664,0.0,0.819944,0.0,77.999999985
17,0.0,4.919664,0.0,0.819944,0.0,76.999999985
18,0.0,4.919664,0.0,0.819944,0.0,75.999999985
19,0.0,4.919664,0.0,0.819944,0.0,74.999999985
20,0.0,4.919664,0.0,0.819944,0.0,73.999999985
21,0.0,4.919664,0.0,0.819944,0.0,72.999999985
22,0.0,4.919664,0.0,0.819944,0.0,71.999999985
23,0.0,4.919664,0.0,0.819944,0.0,70.999999985
24,0.0,4.919664,0.0,0.819944,0.0,69.999999985
25,0.0,4.919664,0.0,0.819944,0.0,68.999999985
26,0.0,4.919664,0.0,0.819944,0.0,67.999999985
27,0.0,4.919664,0.0,0.819944,0.0,66.999999985
28,0.0,4.919664,0.0,0.819944,0.0,65.999999985
29,0.0,4.919664,0.0,0.819944,0.0,64.999999985
30,0.0,4.919664,0.0,0.819944,0.0,63.999999985
31,0.0,4.919664,0.0,0.819944,0.0,62.999999985
32,0.0,4.919664,0.0,0.819944,0.0,61.999999985
33,0.0,4.919664,0.0,0.819944,0.0,60.999999985
34,0.0,4.919664,0.0,0.819944,0.0,59.999999985
35,0.0,4.919664,0.0,0.819944,0.0,58.999999985
36,0.0,4.919664,0.0,0.819944,0.0,57.999999985
37,0.0,4.919664,0.0,0.819944,0.0,56.999999985
38,0.0,4.919664,0.0,0.819944,0.0,55.999999985
39,0.0,4.919664,0.819944,0.819944,0.0,54.999999985
40,0.819944,4.919664,0.819944,0.819944,0.819944,53.999999985
41,1.639888,4.919664,0.819944,0.819944,0.819944,52.999999985
42,2.459832,4.919664,0.819944,0.819944,0.819944,51.999999985
43,3.279776,4.919664,0.819944,0.819944,0.819944,50.999999985
44,4.09972,4.919664,0.819944,0.819944,0.819944,49.999999985
45,4.919663999999999,4.919664,8.881784197001252e-16,0.819944,8.881784197001252e-16,48.999999985
